id,date,prcp,tmax,tmin
USW00094728,2017-01-01,0,89,44
USW00094728,2017-01-02,53,50,28
USW00094728,2017-01-03,147,61,39
USW00094728,2017-01-04,0,111,11
USW00094728,2017-01-05,0,11,-27
USW00094728,2017-01-06,13,6,-38
USW00094728,2017-01-07,81,-32,-66
USW00094728,2017-01-08,0,-38,-88
USW00094728,2017-01-09,0,-49,-99
USW00094728,2017-01-10,0,78,-60
USW00094728,2017-01-11,132,111,56
USW00094728,2017-01-12,13,189,83
USW00094728,2017-01-13,0,167,0
USW00094728,2017-01-14,30,11,-21
USW00094728,2017-01-15,0,33,-10
USW00094728,2017-01-16,0,61,-10
USW00094728,2017-01-17,89,56,33
USW00094728,2017-01-18,15,50,33
USW00094728,2017-01-19,0,94,39
USW00094728,2017-01-20,25,72,44
USW00094728,2017-01-21,0,94,50
USW00094728,2017-01-22,13,89,61
USW00094728,2017-01-23,295,67,22
USW00094728,2017-01-24,300,33,17
USW00094728,2017-01-25,0,106,22
USW00094728,2017-01-26,5,133,61
USW00094728,2017-01-27,0,61,22
USW00094728,2017-01-28,0,39,11
USW00094728,2017-01-29,0,61,17
USW00094728,2017-01-30,0,28,-10
USW00094728,2017-01-31,15,11,-32
USW00094728,2017-02-01,0,83,6
USW00094728,2017-02-02,0,72,0
USW00094728,2017-02-03,0,6,-32
USW00094728,2017-02-04,0,11,-55
USW00094728,2017-02-05,0,61,-5
USW00094728,2017-02-06,0,94,22
USW00094728,2017-02-07,69,56,22
USW00094728,2017-02-08,8,167,33
USW00094728,2017-02-09,295,67,-71
USW00094728,2017-02-10,0,0,-71
USW00094728,2017-02-11,0,89,-10
USW00094728,2017-02-12,117,44,-10
USW00094728,2017-02-13,5,39,-5
USW00094728,2017-02-14,0,50,-21
USW00094728,2017-02-15,0,83,17
USW00094728,2017-02-16,0,17,-21
USW00094728,2017-02-17,0,50,-32
USW00094728,2017-02-18,0,172,17
USW00094728,2017-02-19,0,183,117
USW00094728,2017-02-20,0,128,39
USW00094728,2017-02-21,0,83,11
USW00094728,2017-02-22,0,139,56
USW00094728,2017-02-23,0,183,67
USW00094728,2017-02-24,0,211,144
USW00094728,2017-02-25,137,172,67
USW00094728,2017-02-26,0,67,22
USW00094728,2017-02-27,0,122,17
USW00094728,2017-02-28,0,150,83
USW00094728,2017-03-01,30,211,122
USW00094728,2017-03-02,0,178,17
USW00094728,2017-03-03,0,39,-43
USW00094728,2017-03-04,0,-10,-82
USW00094728,2017-03-05,0,28,-99
USW00094728,2017-03-06,0,72,-32
USW00094728,2017-03-07,25,133,56
USW00094728,2017-03-08,5,150,83
USW00094728,2017-03-09,0,161,83
USW00094728,2017-03-10,79,83,-49
USW00094728,2017-03-11,0,-16,-82
USW00094728,2017-03-12,0,-16,-71
USW00094728,2017-03-13,0,22,-66
USW00094728,2017-03-14,500,0,-60
USW00094728,2017-03-15,0,-32,-66
USW00094728,2017-03-16,0,39,-43
USW00094728,2017-03-17,0,83,-16
USW00094728,2017-03-18,20,39,11
USW00094728,2017-03-19,0,83,11
USW00094728,2017-03-20,0,111,6
USW00094728,2017-03-21,0,150,56
